Home team,Away team,result
Real Madrid,RCD Mallorca, ppd. 
Real Sociedad,Celta de Vigo, ppd. 
Villarreal,Sevilla FC, ppd. 
Real Valladolid,Getafe, ppd. 
Athletic,RCD Mallorca, ppd. 
Atlético Madrid,Alavés, ppd. 
Celta de Vigo,FC Barcelona, ppd. 
Espanyol,Real Madrid, ppd. 
Getafe,Real Sociedad, ppd. 
Granada CF,SD Eibar, ppd. 
Levante,Real Betis, ppd. 
CA Osasuna,CD Leganés, ppd. 
Sevilla FC,Real Valladolid, ppd. 
Villarreal,Valencia, ppd. 
Alavés,Granada CF, ppd. 
FC Barcelona,Atlético Madrid, ppd. 
Real Betis,Villarreal, ppd. 
SD Eibar,CA Osasuna, ppd. 
CD Leganés,Sevilla FC, ppd. 
RCD Mallorca,Celta de Vigo, ppd. 
Real Madrid,Getafe, ppd. 
Real Sociedad,Espanyol, ppd. 
Valencia,Athletic, ppd. 
Real Valladolid,Levante, ppd. 
Athletic,Real Madrid, ppd. 
Atlético Madrid,RCD Mallorca, ppd. 
Celta de Vigo,Real Betis, ppd. 
Espanyol,CD Leganés, ppd. 
Granada CF,Valencia, ppd. 
Levante,Real Sociedad, ppd. 
CA Osasuna,Getafe, ppd. 
Sevilla FC,SD Eibar, ppd. 
Villarreal,FC Barcelona, ppd. 
Real Valladolid,Alavés, ppd. 
Athletic,Sevilla FC, ppd. 
FC Barcelona,Espanyol, ppd. 
Real Betis,CA Osasuna, ppd. 
Celta de Vigo,Atlético Madrid, ppd. 
SD Eibar,CD Leganés, ppd. 
Getafe,Villarreal, ppd. 
RCD Mallorca,Levante, ppd. 
Real Madrid,Alavés, ppd. 
Real Sociedad,Granada CF, ppd. 
Valencia,Real Valladolid, ppd. 
Alavés,Getafe, ppd. 
Atlético Madrid,Real Betis, ppd. 
Espanyol,SD Eibar, ppd. 
Granada CF,Real Madrid, ppd. 
CD Leganés,Valencia, ppd. 
Levante,Athletic, ppd. 
CA Osasuna,Celta de Vigo, ppd. 
Sevilla FC,RCD Mallorca, ppd. 
Villarreal,Real Sociedad, ppd. 
Real Valladolid,FC Barcelona, ppd. 
Athletic,CD Leganés, ppd. 
FC Barcelona,CA Osasuna, ppd. 
Real Betis,Alavés, ppd. 
Celta de Vigo,Levante, ppd. 
SD Eibar,Real Valladolid, ppd. 
Getafe,Atlético Madrid, ppd. 
RCD Mallorca,Granada CF, ppd. 
Real Madrid,Villarreal, ppd. 
Real Sociedad,Sevilla FC, ppd. 
Valencia,Espanyol, ppd. 
CD Leganés,Real Madrid, -:- 
Sevilla FC,Valencia, -:- 
Espanyol,Celta de Vigo, -:- 
Levante,Getafe, -:- 
Alavés,FC Barcelona, -:- 
Villarreal,SD Eibar, -:- 
Granada CF,Athletic, -:- 
CA Osasuna,RCD Mallorca, -:- 
Atlético Madrid,Real Sociedad, -:- 
Real Valladolid,Real Betis, -:- 
