Home team,Away team,result
AS Roma,Udinese Calcio, ppd. 
Cagliari Calcio,Atalanta, ppd. 
SSC Napoli,AS Roma, ppd. 
Juventus,Torino, ppd. 
Sassuolo,Lecce, -:- 
Parma,Fiorentina, ppd. 
Brescia,Hellas Verona, ppd. 
Sampdoria,SPAL, ppd. 
Inter,Bologna, ppd. 
Lazio,AC Milan, ppd. 
Udinese Calcio,Genoa, ppd. 
Torino,Brescia, ppd. 
Fiorentina,Cagliari Calcio, ppd. 
Hellas Verona,Inter, ppd. 
Lecce,Lazio, ppd. 
Genoa,SSC Napoli, ppd. 
AS Roma,Parma, ppd. 
Atalanta,Sampdoria, ppd. 
Bologna,Sassuolo, -:- 
SPAL,Udinese Calcio, ppd. 
AC Milan,Juventus, ppd. 
Juventus,Atalanta, ppd. 
Parma,Bologna, ppd. 
Fiorentina,Hellas Verona, ppd. 
Cagliari Calcio,Lecce, ppd. 
Brescia,AS Roma, ppd. 
Udinese Calcio,Sampdoria, ppd. 
Lazio,Sassuolo, -:- 
Genoa,SPAL, ppd. 
Inter,Torino, ppd. 
SSC Napoli,AC Milan, ppd. 
Atalanta,Brescia, ppd. 
Sampdoria,Cagliari Calcio, ppd. 
Lecce,Fiorentina, ppd. 
Torino,Genoa, ppd. 
AS Roma,Hellas Verona, ppd. 
SPAL,Inter, ppd. 
Sassuolo,Juventus, ppd. 
Udinese Calcio,Lazio, ppd. 
Bologna,SSC Napoli, ppd. 
AC Milan,Parma, ppd. 
Hellas Verona,Atalanta, ppd. 
AC Milan,Bologna, ppd. 
AS Roma,Inter, ppd. 
Juventus,Lazio, ppd. 
Genoa,Lecce, ppd. 
Parma,Sampdoria, ppd. 
Cagliari Calcio,Sassuolo, ppd. 
Brescia,SPAL, ppd. 
Fiorentina,Torino, ppd. 
SSC Napoli,Udinese Calcio, ppd. 
Atalanta,Bologna, ppd. 
Lecce,Brescia, ppd. 
Lazio,Cagliari Calcio, ppd. 
Inter,Fiorentina, ppd. 
Sampdoria,Genoa, ppd. 
Torino,Hellas Verona, ppd. 
Udinese Calcio,Juventus, ppd. 
Sassuolo,AC Milan, ppd. 
Parma,SSC Napoli, ppd. 
SPAL,AS Roma, ppd. 
AC Milan,Atalanta, ppd. 
